"Seq Num","Ticker","Day","Open","High","Low","Close","Volume"
"0","AAPL","2020-12-17:00:30:27(UTC)","16.750288","2.4660985","8.599819","10.553621","447685"
"1","GOOG","2020-12-17:00:30:27(UTC)","3.0698206","6.0679264","13.488327","6.0361643","295412"
"2","GOOG","2020-12-17:00:30:27(UTC)","4.0103383","7.6718807","10.038507","14.624356","999281"
"3","AAPL","2020-12-17:00:30:27(UTC)","7.2368765","1.4243916","14.894716","10.904771","636853"
"4","FB","2020-12-17:00:30:27(UTC)","15.458571","14.337469","9.385895","11.800368","214595"
"5","AAPL","2020-12-17:00:30:27(UTC)","17.623362","11.820939","5.8632746","11.645476","215339"
"6","AAPL","2020-12-17:00:30:27(UTC)","9.295207","7.2295933","18.150265","15.312573","665676"
"7","FB","2020-12-17:00:30:27(UTC)","13.563334","2.0278316","12.348013","17.169249","69047"
"8","GOOG","2020-12-17:00:30:27(UTC)","10.9889965","18.887264","6.448063","12.006039","1789367"
"9","AMZN","2020-12-17:00:30:27(UTC)","6.686448","9.520002","5.945858","16.6494","628398"
"10","AMZN","2020-12-17:00:30:27(UTC)","8.521803","1.5290716","10.260168","10.497497","988536"
"11","FB","2020-12-17:00:30:27(UTC)","7.365178","8.725028","13.604488","7.223666","68231"
"12","FB","2020-12-17:00:30:27(UTC)","15.85348","18.773773","17.333858","7.814992","279576"
"13","AAPL","2020-12-17:00:30:27(UTC)","13.980752","2.575018","2.2341847","9.250515","725414"
"14","AMZN","2020-12-17:00:30:27(UTC)","16.08902","11.965875","12.388288","15.077392","673792"
"15","FB","2020-12-17:00:30:27(UTC)","16.338974","12.851173","3.9476416","17.339052","901068"
"16","FB","2020-12-17:00:30:27(UTC)","17.74722","14.154676","5.4808292","9.760918","425538"
"17","AMZN","2020-12-17:00:30:27(UTC)","8.853744","7.2701645","15.722869","15.228838","372275"
"18","AMZN","2020-12-17:00:30:27(UTC)","15.19964","4.854811","10.162063","11.410669","405509"
"19","AAPL","2020-12-17:00:30:27(UTC)","8.757225","11.949631","3.185332","8.867183","94403"
"20","AMZN","2020-12-17:00:30:28(UTC)","8.738842","5.959673","14.108598","7.830558","579846"
"21","FB","2020-12-17:00:30:28(UTC)","10.305014","1.9266745","5.546294","9.927729","926091"
"22","AMZN","2020-12-17:00:30:28(UTC)","14.945481","15.727102","13.295873","13.738412","422981"
"23","AMZN","2020-12-17:00:30:28(UTC)","15.936908","2.0648952","11.556588","9.866805","373107"
"24","GOOG","2020-12-17:00:30:28(UTC)","10.853392","5.8863583","14.745854","12.720975","343421"
"25","AMZN","2020-12-17:00:30:28(UTC)","6.528817","3.9878898","6.836218","15.945446","356635"
"26","FB","2020-12-17:00:30:28(UTC)","8.138986","9.341479","5.957239","1.9690951","818246"
"27","AMZN","2020-12-17:00:30:28(UTC)","6.5922728","12.140087","2.231389","6.4798803","887059"
"28","AMZN","2020-12-17:00:30:28(UTC)","2.1297956","8.214681","1.5394536","8.062529","88571"
"29","GOOG","2020-12-17:00:30:28(UTC)","5.712222","9.060458","10.6459675","4.525219","748542"
"30","AMZN","2020-12-17:00:30:28(UTC)","15.517137","7.727463","11.950266","3.491462","311791"
"31","GOOG","2020-12-17:00:30:28(UTC)","1.3307265","6.7079287","11.017981","11.049724","108823"
"32","GOOG","2020-12-17:00:30:28(UTC)","8.701478","10.343007","17.636591","12.027243","224239"
"33","AMZN","2020-12-17:00:30:28(UTC)","7.816742","5.747143","18.290197","8.939628","663246"
"34","FB","2020-12-17:00:30:28(UTC)","1.4320376","12.561576","17.665787","15.578469","193116"
"35","FB","2020-12-17:00:30:28(UTC)","14.541941","12.879359","6.672513","7.221815","712551"
"36","AMZN","2020-12-17:00:30:28(UTC)","4.229801","9.496541","2.6688266","12.367379","601219"
"37","FB","2020-12-17:00:30:28(UTC)","7.0724792","2.4626048","8.239063","6.082114","566771"
"38","AAPL","2020-12-17:00:30:28(UTC)","5.3519363","6.051202","37.257183","20.081121","21258"
"39","AAPL","2020-12-17:00:30:28(UTC)","16.694445","18.089006","9.707417","10.723963","917996"
"40","FB","2020-12-17:00:30:29(UTC)","18.941788","1.0767304","16.465614","9.795889","695676"
"41","FB","2020-12-17:00:30:29(UTC)","6.4923964","17.680025","3.0821157","9.384068","992253"
"42","AMZN","2020-12-17:00:30:29(UTC)","18.581217","16.97505","11.438871","4.8621373","652857"
"43","AMZN","2020-12-17:00:30:29(UTC)","13.457922","2.2224383","1.315066","10.128138","435899"
"44","FB","2020-12-17:00:30:29(UTC)","3.8102431","9.090302","9.654758","1.4024615","121107"
"45","AAPL","2020-12-17:00:30:29(UTC)","6.9478292","18.77903","2.1949947","2.731322","373625"
"46","GOOG","2020-12-17:00:30:29(UTC)","16.095211","3.7398853","2.6125891","14.896445","377862"
"47","AMZN","2020-12-17:00:30:29(UTC)","2.6400466","16.377773","12.102635","2.5570056","622587"
"48","AMZN","2020-12-17:00:30:29(UTC)","12.887747","6.3721266","6.5654144","17.76167","794255"
"49","FB","2020-12-17:00:30:29(UTC)","14.483957","2.090994","1.968426","1.5357549","937736"
"50","AAPL","2020-12-17:00:30:29(UTC)","10.602704","8.854532","13.037673","8.311213","301430"
"51","AAPL","2020-12-17:00:30:29(UTC)","1.4605684","1.2359438","9.414626","1.7579453","470702"
"52","AAPL","2020-12-17:00:30:29(UTC)","8.615135","4.454303","2.135631","11.925946","596404"
"53","FB","2020-12-17:00:30:29(UTC)","18.99379","10.135565","11.847733","1.776528","525134"
"54","GOOG","2020-12-17:00:30:29(UTC)","13.138726","13.431067","13.416933","1.5143404","548954"
"55","AAPL","2020-12-17:00:30:29(UTC)","43.140015","2.5257337","4.184986","17.258066","219226"
"56","AMZN","2020-12-17:00:30:29(UTC)","10.898566","9.76325","10.981824","7.2672873","570794"
"57","AMZN","2020-12-17:00:30:29(UTC)","8.941037","1.7184064","17.381197","1.2046357","299772"
"58","FB","2020-12-17:00:30:29(UTC)","5.161456","18.841732","17.470573","4.2921076","176255"
"59","AAPL","2020-12-17:00:30:29(UTC)","18.496822","13.394151","13.991538","3.6427445","851156"
"60","AMZN","2020-12-17:00:30:30(UTC)","14.381803","7.388234","4.059681","2.8359928","968593"
"61","FB","2020-12-17:00:30:30(UTC)","2.0134103","6.2896624","2.0271926","15.61846","566745"
"62","AMZN","2020-12-17:00:30:30(UTC)","2.77926","2.5406313","12.751497","1.7569842","882341"
